transit_depth,transit_duration,symmetry_score,num_transits,snr,scatter_in,scatter_out,period,bls_power
0.00013910821991934677,1.2000000000000002,0.9513609060610829,596,52.196927980340824,0.00023600105,0.00020458814,3.092851487907915,4251.228958644487
0.00022558085385410436,7.92,0.9603694953159073,11,47.03729629220607,0.00018543086,0.00020549067,157.38827595584158,3636.5864097042995
0.0002128606534548992,7.92,0.9884221054322899,15,44.8604306144673,0.00018564085,0.00020622488,122.12293930525664,3326.724526964138
0.0002817646235087889,7.92,0.8354991506175644,13,40.06236402293089,0.00024031685,0.00020567048,136.84033710733453,3322.3325827590315
0.00021828167075759215,7.92,0.4705051178031425,58,43.22714156564091,0.00024188047,0.00020577994,31.282345426793558,3172.3285483775485
0.00026632388341236535,7.92,0.9538401063697846,9,27.720523188406023,0.00022891043,0.00020595067,198.70094027452407,3167.8768345878657
6.652572023293768e-05,7.92,0.8985925123846664,268,42.988088561867464,0.0002143319,0.00020505709,6.886669280789805,2951.308061172362
0.0001703269344051653,7.92,0.6265413439219483,32,47.30356748007059,0.00018609353,0.00020582044,56.17159174996858,2908.1000941731163
0.0001703089116856956,7.92,0.5272982665955699,56,38.209906937479616,0.00020174823,0.00020545004,32.94640318288015,2800.9433238562774
8.143219344164053e-05,7.92,0.8047085070475861,183,42.33861776569108,0.0002120799,0.00020569935,10.044261271959398,2748.264634526482
